@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P93.0-S1

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
45,services,divorced,secondary,no,-179,no,no,unknown,3,jul,155,2,-1,0,no
50,management,divorced,tertiary,no,356,no,no,cellular,8,may,198,2,358,5,no
59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,no
61,retired,married,secondary,no,76,yes,no,cellular,15,jul,195,7,-1,0,no
50,entrepreneur,divorced,tertiary,no,1790,no,yes,cellular,6,feb,748,3,-1,0,no
43,blue-collar,married,primary,no,1211,yes,no,unknown,6,may,208,3,-1,0,no
38,management,married,unknown,no,3576,no,no,cellular,25,nov,349,2,183,1,yes
33,blue-collar,married,secondary,no,3576,yes,no,cellular,2,apr,124,1,308,2,no
36,management,divorced,tertiary,no,5195,yes,no,unknown,2,jun,55,25,-1,0,no
34,management,married,tertiary,no,3301,yes,no,cellular,17,jun,485,2,227,4,yes
43,blue-collar,married,primary,no,778,yes,yes,unknown,15,may,284,5,-1,0,no
27,technician,single,tertiary,no,3083,yes,no,unknown,29,may,244,2,-1,0,no
32,self-employed,married,tertiary,no,3601,no,no,cellular,22,aug,171,15,-1,0,no
40,admin.,single,secondary,no,-1,no,no,cellular,7,jul,173,1,-1,0,no
50,blue-collar,married,secondary,no,283,yes,no,cellular,7,aug,226,3,-1,0,no
58,management,married,secondary,no,111,no,no,telephone,24,mar,58,2,-1,0,no
36,management,single,tertiary,no,613,no,no,cellular,7,aug,86,2,-1,0,no
37,technician,divorced,secondary,no,23,no,no,cellular,20,aug,289,2,-1,0,no
39,management,single,tertiary,no,3797,no,no,cellular,2,jun,96,2,-1,0,no
50,management,married,tertiary,no,-94,no,yes,unknown,25,jun,75,1,-1,0,no
58,entrepreneur,married,secondary,no,2,no,no,unknown,16,jun,684,1,-1,0,no
34,management,married,tertiary,no,436,no,yes,cellular,28,jul,118,4,-1,0,no
44,management,married,secondary,no,2984,yes,no,unknown,15,may,770,2,-1,0,no
36,management,single,tertiary,no,2944,no,no,cellular,18,aug,882,8,-1,0,yes
51,blue-collar,divorced,primary,no,837,no,no,telephone,30,jul,41,2,-1,0,no
63,entrepreneur,married,secondary,no,3904,no,no,telephone,4,aug,250,2,187,2,yes
31,blue-collar,single,secondary,no,-219,yes,no,unknown,30,may,66,2,-1,0,no
37,services,single,secondary,no,1175,yes,no,cellular,15,may,102,1,333,2,no
50,unemployed,married,secondary,no,1772,no,no,cellular,29,jul,206,4,-1,0,no
57,management,married,tertiary,no,2416,no,no,cellular,11,aug,74,2,-1,0,no
43,self-employed,single,tertiary,no,0,no,no,unknown,19,jun,147,1,-1,0,no
41,technician,married,secondary,no,77,yes,no,cellular,7,may,56,1,-1,0,no
34,admin.,married,secondary,no,645,yes,no,unknown,19,may,420,1,-1,0,no
45,entrepreneur,married,secondary,no,245,yes,no,unknown,14,may,126,3,-1,0,no
56,admin.,divorced,unknown,no,789,yes,no,cellular,8,may,1022,1,360,2,no
51,housemaid,married,secondary,no,260,no,no,cellular,27,aug,316,5,-1,0,no
46,admin.,married,secondary,no,70,yes,no,cellular,27,mar,229,2,-1,0,yes
49,unemployed,married,tertiary,no,-471,yes,no,cellular,20,nov,77,3,185,7,no
58,management,married,primary,no,2769,yes,no,cellular,11,jul,94,2,-1,0,no
41,retired,single,primary,no,0,no,no,cellular,8,may,239,1,368,2,no
61,management,married,tertiary,no,6016,no,no,cellular,2,feb,670,3,-1,0,yes
37,technician,married,unknown,no,47,no,no,unknown,19,jun,374,3,-1,0,no
44,technician,married,secondary,no,2776,yes,no,cellular,27,jan,701,1,-1,0,yes
34,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,no
41,technician,single,secondary,no,1680,yes,no,unknown,2,jun,76,2,-1,0,no
54,retired,married,primary,no,0,yes,no,cellular,11,jul,159,2,-1,0,no
52,blue-collar,married,primary,no,2,no,no,unknown,9,jun,70,3,-1,0,no
31,technician,single,secondary,no,775,no,no,cellular,2,feb,361,1,-1,0,no
59,self-employed,married,tertiary,no,2013,no,no,cellular,19,feb,222,4,94,2,yes
40,management,divorced,tertiary,no,502,yes,no,cellular,3,feb,267,4,270,3,no
34,blue-collar,married,secondary,no,103,yes,yes,unknown,8,may,956,2,-1,0,no
42,unemployed,married,secondary,no,1289,no,no,cellular,15,jul,250,4,415,2,yes
27,blue-collar,single,primary,no,1209,no,no,cellular,29,jan,283,1,-1,0,no
57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,no
32,admin.,married,secondary,no,3540,yes,no,cellular,18,may,213,1,178,1,no
41,technician,single,secondary,no,618,no,no,cellular,5,feb,1056,1,-1,0,no
38,management,single,tertiary,no,35,yes,no,cellular,17,apr,156,1,273,3,no
30,management,married,tertiary,no,944,no,no,cellular,29,oct,251,2,-1,0,yes
59,admin.,divorced,secondary,no,975,yes,no,unknown,15,may,263,4,-1,0,no
54,technician,married,secondary,no,0,no,no,telephone,16,nov,986,1,94,8,no
23,services,single,tertiary,no,363,yes,no,unknown,30,may,16,18,-1,0,no
36,self-employed,married,tertiary,no,506,no,no,cellular,25,aug,47,1,120,1,no
46,management,divorced,tertiary,no,6269,yes,no,telephone,18,nov,249,3,112,2,no
57,blue-collar,married,secondary,no,1521,yes,yes,cellular,18,may,102,2,178,5,no
29,blue-collar,single,secondary,no,309,yes,no,cellular,11,may,471,3,-1,0,no
55,blue-collar,single,primary,no,1187,yes,no,unknown,2,jun,193,2,-1,0,no
42,blue-collar,single,primary,no,1628,yes,no,cellular,5,feb,119,1,195,8,no
49,services,single,secondary,no,133,no,no,unknown,11,jun,319,6,-1,0,no
38,technician,married,secondary,no,6728,no,no,cellular,25,nov,232,1,96,4,yes
